uniprot_id	Master.Protein.Descriptions	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	protein_desc	gene_name
Q9Y314	Nitric oxide synthase-interacting protein OS=Homo sapiens OX=9606 GN=NOSIP PE=1 SV=1	-1.50764404530791	-1.95596247503002	-1.05932561558581	7.77561492832922	-7.01338246555802	8.20969348787462e-07	0.000735588536513566	5.7326243205371	Nitric oxide synthase-interacting protein 	NOSIP 
P38432	Coilin OS=Homo sapiens OX=9606 GN=COIL PE=1 SV=1	-1.01255005478915	-1.42383461772826	-0.601265491850036	7.41194293777333	-5.13439635379391	5.00076439842752e-05	0.0224034245049553	2.07176927942431	Coilin 	COIL 
P23396	40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2	0.844766427146494	0.486751856014421	1.20278099827857	7.67019073582712	4.92097594339894	8.17061665821843e-05	0.0244029084192124	1.6266123799204	40S ribosomal protein S3 	RPS3 
Q16637	Survival motor neuron protein OS=Homo sapiens OX=9606 GN=SMN1 PE=1 SV=1	-0.912427996495434	-1.35021336146757	-0.474642631523297	6.24067096628957	-4.34662989143534	0.000310787684538887	0.0585709966424841	0.411136237232594	Survival motor neuron protein 	SMN1 
Q7KZF4	Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1	0.671033226554481	0.347466312859434	0.994600140249529	7.16289318569935	4.32509068160418	0.000326847079478148	0.0585709966424841	0.365229033657241	Staphylococcal nuclease domain-containing protein 1 	SND1 
Q53EP0	Fibronectin type III domain-containing protein 3B OS=Homo sapiens OX=9606 GN=FNDC3B PE=1 SV=2	-1.04049531799536	-1.60790490103671	-0.473085734954019	6.93519824849355	-3.82435996259635	0.0010553872113031	0.157604490221264	-0.70263359399006	Fibronectin type III domain-containing protein 3B 	FNDC3B 
Q8N531	F-box/LRR-repeat protein 6 OS=Homo sapiens OX=9606 GN=FBXL6 PE=2 SV=1	-0.725407248527591	-1.17313408081597	-0.27768041623921	7.58737721066124	-3.37896791059763	0.00297216257201654	0.380436809218117	-1.64267396747148	F-box/LRR-repeat protein 6 	FBXL6 
P09382	Galectin-1 OS=Homo sapiens OX=9606 GN=LGALS1 PE=1 SV=2	-0.470894343949571	-0.771919088036602	-0.169869599862539	7.85634942693515	-3.26239525762425	0.00388615021090681	0.435248823621563	-1.88502255075487	Galectin-1 	LGALS1 
P62906	60S ribosomal protein L10a OS=Homo sapiens OX=9606 GN=RPL10A PE=1 SV=2	-0.394490299231284	-0.658158174704045	-0.130822423758522	7.27895946670473	-3.12028603362318	0.00537590659580871	0.458077136200194	-2.17744900221512	60S ribosomal protein L10a 	RPL10A 
Q9Y2H6	Fibronectin type-III domain-containing protein 3A OS=Homo sapiens OX=9606 GN=FNDC3A PE=1 SV=4	-0.843009888293249	-1.40672175248151	-0.279298024104987	6.6334063978509	-3.1188234606729	0.00539380916735532	0.458077136200194	-2.18043926098665	Fibronectin type-III domain-containing protein 3A 	FNDC3A 
