logFC AveExpr t P.Value adj.P.Val B
P20742 -4.29820005528045 3.58030134307818 -6.85590314268039 2.07037581180201e-05 0.0216975385076851 3.0938676998523
P15514 -1.15343750574765 5.40312278724126 -5.67217435788575 7.65458395168507e-05 0.0252015775070498 1.8616111000883
P04114 -1.38427912748405 4.96636379819997 -5.58508291864052 8.8606490762199e-05 0.0252015775070498 1.72577439923191
Q9BY76 -0.791090932130504 5.19331413031827 -5.50544113295824 0.000101385521740679 0.0252015775070498 1.60048937339301
P07996 -0.894070402202216 4.15584556082371 -5.40537197079327 0.00012023653390768 0.0252015775070498 1.44163418409243
Q15154 0.710082284582327 4.89401693408088 5.02133486463209 0.000234318889348286 0.0409276993395007 0.817463108032242
Q96QD8 -1.58374499764799 4.22061236033485 -4.37353603388819 0.000754376304574757 0.112940909599192 -0.28381732155923
Q8WUM9 -0.636350812298185 4.75495735179692 -4.23037407262701 0.000983421432953839 0.113761315780505 -0.534367912322159
Q8WU90 0.849835649894121 4.95168027731375 4.19510485089946 0.00105015863929112 0.113761315780505 -0.596435045583101
Q99575 1.0439002872578 4.56399356185647 4.17734705232852 0.0010855087383636 0.113761315780505 -0.627734037819952
A0A024R6I7 -2.74631712842403 5.47946849912626 -4.3754596062044 0.00131583633949407 0.125363316708162 -0.699284534051509
O75494 0.49990299015005 5.86202251921485 3.77842759866321 0.00230156381511554 0.201003239853424 -1.33825289184876
P19827 -2.15966485829245 2.61821848913413 -3.60239495248079 0.00321942077340734 0.247247779571265 -1.65519573725735
P02749 -1.07444391643873 5.83686177671769 -3.58900392146513 0.00330292835305126 0.247247779571265 -1.67936008700122
Q8IWT6 -0.897405515570104 3.61414509678019 -3.50023367610754 0.00391494128566343 0.273523897825018 -1.83967968068329
Q07954 0.588133774974292 4.24738696689459 3.42199555665512 0.0045490331930369 0.285585628700756 -1.98110688347896
Q15061 -0.66770241694496 5.17433556493963 -3.41251722328984 0.00463259130526035 0.285585628700756 -1.99824459667743
P02768 -2.1889785036757 5.08593580655851 -3.42670905591332 0.00627083661703678 0.312944608316883 -2.18850780703232
A0A0A0MT32 -0.646533990646712 4.8468085457075 -3.28533290349208 0.00591567064361334 0.312944608316883 -2.22818539692172
P00734 -1.00016882864374 4.13963675935265 -3.26903119890476 0.00610414373627195 0.312944608316883 -2.25764422317751
F8WBC0 0.767280741291988 4.10383030269758 3.26512465748713 0.00615019801496134 0.312944608316883 -2.26470291664481
Q15223 0.436321569474505 5.37229480194891 3.19479887682346 0.00704152695282412 0.321646670321927 -2.39170422180619
B9ZVT1 0.495115889164745 4.41956869012867 3.19350834850646 0.00705903952042398 0.321646670321927 -2.39403332143395
Q8TB72 0.631704915564519 4.8414949589909 3.1193707597266 0.00814176649554599 0.342177137153997 -2.52771780226822
A0AV96 0.461755139116494 4.41188399939187 3.11804150887159 0.00816262254661252 0.342177137153997 -2.53011234228853
P62829 0.560200704435117 4.61238283676247 3.0911464830916 0.00859624604783264 0.346494840697254 -2.57854098709402
