logFC AveExpr t P.Value adj.P.Val B
Q9BY76 -1.01866955452293 5.96927603822045 -13.1777057019157 6.65153655228344e-09 1.86575600291551e-05 8.79195797454589
P07996 -0.735514277232915 5.26968830457767 -11.1524493229503 4.94573005975105e-08 6.93638640880085e-05 7.5338603524352
P15407 -0.721766136133966 5.94006926700488 -6.40161687824884 2.32422973265702e-05 0.0217315480003432 2.81255334682413
P20742 -3.75171464860096 2.86584845205014 -6.30402718049641 0.000109034243297168 0.0644904542253314 1.52638260944151
H0YF61 0.377240623115854 5.63185306246893 5.42815645634911 0.000114956246390965 0.0644904542253314 1.42524302290013
O95478 -0.407562358929085 5.17946477375595 -5.28600559615971 0.000146791736154327 0.0686251366521479 1.20915741368337
A0A140TA32 -1.66197959828643 6.28079492783138 -6.01249928819324 0.000176364324534522 0.0706717043313336 1.12503277409634
P13726 -0.676424255649555 5.38018873578064 -5.09177185021717 0.000205927065809419 0.0722031774494276 0.908485627089112
S4R3Q9 0.805863521379863 6.16668782269952 4.83773234830534 0.000436381004937798 0.134283842657046 0.271306661818655
Q92522 0.375792910245372 4.9598188295347 4.61967514188986 0.000478730276852215 0.134283842657046 0.152725327043161
P04114 -3.6224860446343 4.03173896127839 -5.47947216715533 0.000672171061417731 0.157119985606395 0.0231229530066681
Q9NWT1 -0.371882686742437 5.0022489883065 -4.47535980060101 0.000623046959788726 0.157119985606395 -0.0849098487302378
P00734 -0.628164609272555 6.05861907869158 -4.34950732382672 0.000816539615771961 0.164304833499712 -0.32357146979391
Q92743 0.396418621794456 5.0138038674166 4.32627253411674 0.000820059775043124 0.164304833499712 -0.333365008413568
O00622 -0.733839624147324 6.96391945609467 -4.38430902598831 0.0010351018303311 0.193564042271916 -0.492065779621603
H0YGQ5 -3.74999295887175 5.07079907425972 -4.99188633518189 0.0012536432695271 0.206851139471972 -0.514502820599738
E9PPQ4 0.261556794095731 6.8867335364355 4.13855611304788 0.0011630278763108 0.203893324565738 -0.650135360168323
H0YLF3 0.546721907718447 6.41958854138256 4.06340810035473 0.00138058702841655 0.215141478594912 -0.800418214893795
Q9UDY4 0.325059688928255 5.72156193785295 3.9882188686753 0.00154249893728776 0.22200587217076 -0.906664710784689
P19623 0.260848941394928 5.74170307681167 3.97449936147592 0.00158292956984499 0.22200587217076 -0.930188711842124
P62979 0.410054867920395 6.11677615669755 3.89731763782098 0.00183150551316269 0.244636807829589 -1.06285304720149
A0A087WTT1 -0.345543077072094 5.85164250652324 -3.8296563620161 0.00208217407522011 0.246621390320489 -1.17957962959335
B4DLR8 -0.313002578238795 6.32543768339376 -3.82318903885672 0.00210790036677497 0.246621390320489 -1.19075629832507
O95881 0.375299829028448 4.23143127198108 3.81087513070302 0.0021577847765253 0.246621390320489 -1.21204590441656
K7EPJ1 -0.316921288312503 5.32837567368587 -3.80114545238562 0.00219805160713448 0.246621390320489 -1.22887585260407
P26583 0.316660959525049 5.77201623515502 3.71568189575762 0.00258640884730638 0.279033723719015 -1.3770011774799
P61163 0.417975179282218 4.23915487315983 3.6894292077324 0.002719229595082 0.281141143530309 -1.42260088194563
O95810 -0.330124368904201 5.46958918115003 -3.65620956942242 0.00289730118918808 0.281141143530309 -1.48036197475701
P13995 -0.287590559337452 5.47805924012767 -3.65452722148915 0.00290662857838823 0.281141143530309 -1.48328888513737
Q9UGI8 0.349062571437419 4.39761881927426 3.55588152063677 0.00351044301344755 0.328226421757346 -1.65516679450897
Q9H078-2 0.342272307921645 4.51116703072774 3.5067925015925 0.00385687580889629 0.338954896920064 -1.74085970994564
Q92947 0.306951539532144 4.74443405708417 3.49846823043067 0.00391896708687036 0.338954896920064 -1.75539983744537
Q13310 -0.334863792450811 4.57862498315474 -3.48940716290459 0.00398770466964781 0.338954896920064 -1.77122954815099
Q9UNS2 -0.308530652483809 4.24892555756738 -3.44814725771145 0.00431645388482415 0.342038523705077 -1.84334186227531
P15104 0.369516545288621 4.43443410600412 3.44133617229288 0.00437329967996686 0.342038523705077 -1.8552503924216
Q9BZE4 -0.37980833345296 5.35127770639884 -3.43473768242953 0.00442909223236855 0.342038523705077 -1.86678827672507
Q13751 -0.394246636289816 5.07769100603689 -3.42511596005379 0.00451173810234861 0.342038523705077 -1.88361424213157
Q9NV31 -0.333979516296912 4.24751146212915 -3.39517253172336 0.00477903187256303 0.352768010593139 -1.93598959955659
E9PLL6 -0.399712314611368 4.9799970024637 -3.3644295753617 0.00507009434938885 0.364656785898352 -1.98977836354624
K7EKE6 0.299187773754137 4.98645346101009 3.34064038869424 0.0053075272997105 0.372190351892199 -2.03140779008639
P29692 -0.253744128021687 5.24344070175035 -3.31742947013337 0.0055499749318529 0.379699504484082 -2.07202879899452
Q9Y6G9 0.24511394819029 4.76813650705095 3.2993829020558 0.0057461517916348 0.382242080522648 -2.10361269835241
P31153 -0.225495520277038 5.47380700045038 -3.2892198753274 0.00585968251781599 0.382242080522648 -2.12139925249431
P02647 -1.90365882379164 5.96104487066596 -3.57953616871287 0.00776909836030814 0.391655676601731 -2.17472471907762
A0A0X1KG71 0.251968608238291 5.0074076087462 3.25707771777202 0.00623378692535437 0.384979997210645 -2.17764897493226
A0A087WT20 -0.263855030167534 5.644636830385 -3.21349164549601 0.0067796647912555 0.384979997210645 -2.25390947432866
P68104 -0.249580678979449 6.5736782776757 -3.20592030383809 0.00687926028344377 0.384979997210645 -2.26715371937778
Q9Y263 0.296422027408694 4.65798690818181 3.20533420013154 0.00688703088629768 0.384979997210645 -2.26817892224315
I3L2C7 0.360092514478142 4.76991745819763 3.2039018282143 0.00690605838151517 0.384979997210645 -2.27068437532483
F5GYQ1 -0.297550065419637 4.81425889285158 -3.20294036893811 0.00691885983524009 0.384979997210645 -2.27236610248934
Q9Y3B4 -0.225897883490821 5.9720708871082 -3.19968380002338 0.00696239657528958 0.384979997210645 -2.27806216104591
Q9NR19 0.345995071223137 4.09038082200949 3.17723521272118 0.00727006291826761 0.384979997210645 -2.31732065429112
P50579 -0.393684015093029 4.16861700453458 -3.1752578686001 0.00729780650178078 0.384979997210645 -2.32077809765186
P29317 -0.320643116116384 4.97226605306941 -3.16925304083102 0.00738270938610218 0.384979997210645 -2.33127709566139
K7EJX0 -0.372179694168636 3.77812307546878 -3.16724090153654 0.00741137962544557 0.384979997210645 -2.33479495950268
J3QR68 -2.46816290476286 4.14921808497371 -3.45192959870533 0.00931455041569555 0.399904603297344 -2.34313857482555
Q14534 0.412177254428332 3.72548241852582 3.1377695640505 0.00784428598360325 0.391655676601731 -2.38630683369096
Q8IZP0 0.308882034547092 4.15976160735952 3.13024677264443 0.00795877845500844 0.391655676601731 -2.39945123049198
Q53GS9 0.461504513616915 4.11280345364072 3.11497274752168 0.00819639774037912 0.396394752789025 -2.42613301148705
P01023 -1.39913003817771 5.25834067518133 -3.32334308768571 0.0104676394915471 0.403232462487161 -2.47273444657333
