logFC AveExpr t P.Value adj.P.Val B
O00592 -0.433235871612987 4.7976650644684 -4.46224783811374 0.000644437000382173 0.492958342831781 -1.50190694739744
Q96QR8 -0.444312828034349 6.06813854461986 -4.06032301016599 0.00135746986412901 0.492958342831781 -1.85599505549389
P10412 0.744906286920846 4.68827304743616 3.85989370832338 0.00198003678444348 0.492958342831781 -2.04227785897639
A0A0C4DGB1 -0.383675747976058 6.40803788177354 -3.78708904860008 0.00227292683682128 0.492958342831781 -2.11146411991745
Q8N1G4 -0.509010709483392 4.82512593589577 -3.74106165349713 0.00248056723932111 0.492958342831781 -2.15560732136602
O00299 -0.425994142665933 6.60403104318451 -3.73935200165107 0.00248864222966596 0.492958342831781 -2.15725291079975
Q9Y265 -0.545548473501488 6.50866099591238 -3.57434599902527 0.00340858341505178 0.492958342831781 -2.31800982745101
P19022 0.563363851496774 3.70180094692596 3.56528493052758 0.00346813354777553 0.492958342831781 -2.32694518763776
Q13751 -0.387094188201087 5.47315938883874 -3.50464368991615 0.0038947738456496 0.492958342831781 -2.38702084944003
P52292 -0.396691103555804 4.99997002715372 -3.44123017266645 0.00439794237392061 0.492958342831781 -2.45034122683345
Q12874 -0.347657928356988 5.95260437191033 -3.43366852373949 0.00446217270295983 0.492958342831781 -2.45792471282703
Q86VP6 -0.353644111222629 5.22713998961825 -3.36035208198616 0.00513622088039187 0.492958342831781 -2.53180324362696
M0R3D6 -0.419903181961285 6.65559743778958 -3.32714778808875 0.00547440305715347 0.492958342831781 -2.56546429079679
P60866 -0.383343766503185 6.04815372269811 -3.29798809095431 0.00578983147494766 0.492958342831781 -2.59512471640462
P62316 -0.365822628145341 5.58493694451602 -3.28314534536605 0.00595734451894971 0.492958342831781 -2.61025718746935
P14678 -0.46405245012847 6.05997046329961 -3.24037533096808 0.00646776911558752 0.492958342831781 -2.65398944881222
H0YN88 -0.380611070232386 5.2697235742513 -3.2183536886869 0.00674746621469388 0.492958342831781 -2.67657806403394
Q9Y5S9 0.624199080590039 3.69720190139751 3.21093141768537 0.00684444315421598 0.492958342831781 -2.68420206679574
Q7L576 -0.627646879719402 3.40044532162259 -3.20626607681197 0.0069061125222272 0.492958342831781 -2.68899691316052
O43818 0.389122503798858 5.48934249139665 3.17986851929563 0.00726568284105764 0.492958342831781 -2.71616591229754
P10155 -0.459607006375069 4.9004243939368 -3.05656676998994 0.00920934128662869 0.492958342831781 -2.84387895109503
P16403 0.491845624733439 6.1320590158791 3.05185240768584 0.00929316272962154 0.492958342831781 -2.84878625641114
P15153 -0.350017893668214 6.26897530520634 -3.01602822649604 0.00995541141391565 0.492958342831781 -2.88612929490469
Q9Y2R9 -0.3497495173394 5.47098686486461 -3.01421540447178 0.00999014326018532 0.492958342831781 -2.88802137913966
Q9BTT0 0.496801337877411 5.74905982610085 3.00469503660114 0.0101745297699484 0.492958342831781 -2.89796167757309
P47897 -0.368179403338046 5.02320829341282 -2.9596910388805 0.0110929156366495 0.492958342831781 -2.94503061468395
O75475 0.484237426789494 5.60775589936759 2.95805920802143 0.0111277172940909 0.492958342831781 -2.94673968381839
Q15582 -0.365522842130111 6.19316714604042 -2.95661843947265 0.011158534137954 0.492958342831781 -2.94824877905092
Q86VM9 0.428105157921726 5.02063914948483 2.94583244786815 0.0113919392847439 0.492958342831781 -2.95955016041648
P40925 -0.615573698877143 3.36092526092622 -2.937529415278 0.0115749021863062 0.492958342831781 -2.96825450989462
P33176 0.437791868801858 4.59452423246033 2.93625380773952 0.0116032677081774 0.492958342831781 -2.96959211789828
O15347 0.494048506193366 3.87427461243532 2.89622349898497 0.0125292200263322 0.492958342831781 -3.01161255935755
E9PK52 0.335701071406719 4.87420044733 2.88609797726153 0.0127747829683129 0.492958342831781 -3.02225439883068
