logFC AveExpr t P.Value adj.P.Val B
Q9ULC4 0.378267245797162 5.54695191641909 4.55140397896252 0.000335990588903912 0.578679353440269 -0.745478000801217
P01033 0.472895641594875 4.22054995694071 4.4491635890734 0.000414526757478703 0.578679353440269 -0.862337697929004
Q8NBX0 -0.334716315079213 5.08732877811771 -4.14289472569344 0.000781712265966594 0.597432698816884 -1.2221291769828
Q16186 0.350815976620499 5.0442164568216 3.95720015250997 0.00115186002979854 0.597432698816884 -1.4468665135796
Q9NR50 0.284988013089285 4.95512211070439 3.86532884875806 0.00139624692803565 0.597432698816884 -1.55971795598457
Q14980 0.390601686154479 4.17218673681028 3.86325854186088 0.00140231948945838 0.597432698816884 -1.56227297549437
P35659 -0.386971977327594 5.0917172352377 -3.80730010029846 0.00163267565159772 0.597432698816884 -1.65430464592255
P30520 0.309264512812712 4.85495185397621 3.7055440027319 0.0019525000129447 0.597432698816884 -1.75835780018101
Q9UL25 -0.257153915672087 4.75750571973034 -3.63862811255257 0.00224724130613125 0.597432698816884 -1.84235700756
Q9NRR5 0.291904094546935 4.52130488062664 3.55768533897458 0.00266397857930173 0.597432698816884 -1.94453571279965
H0YAN8 -0.441039727740622 5.51399289497757 -3.58608320312315 0.00284412453736019 0.597432698816884 -1.98851002223023
O75179 -0.285155001008402 4.84142420977523 -3.51928524095463 0.00288789541026858 0.597432698816884 -1.9932119778466
O00499-2 0.431232083794681 4.01423970519437 3.51926173118385 0.00288803810332511 0.597432698816884 -1.99324181648003
Q9P035 0.234421097246101 5.17999093141949 3.5018425500976 0.00299572270180386 0.597432698816884 -2.01536249618185
J3QRV9 0.321696975556572 4.95010994558603 3.45361186961995 0.00331524225748402 0.617077092193025 -2.07673362738239
O94925 0.278978254389874 4.59926539544462 3.35503318267093 0.00407772173563814 0.654832873618974 -2.20267638541844
P07741 0.350938364199126 5.8659528110738 3.32941442878635 0.00449592010758207 0.654832873618974 -2.26260319089942
Q9UHY1 0.248646272667885 6.6170109295876 3.30726015802462 0.00450758003836437 0.654832873618974 -2.26392211839239
Q8TBX8 0.259837317385627 4.89033923432731 3.30274113225559 0.00455049753016019 0.654832873618974 -2.2697218254982
P07954 0.283632785075167 5.64217242422126 3.24387111865703 0.00514798743308065 0.654832873618974 -2.34536316298284
O94842 0.257495460805772 4.97087179855813 3.2279673260072 0.00532230675594949 0.654832873618974 -2.36582313294462
P43897 0.312113226329404 5.56216872503154 3.23675675511647 0.00534754180934202 0.654832873618974 -2.36859019529873
P62314 -0.348581861620426 5.58336516116898 -3.23533983830435 0.00545884358683863 0.654832873618974 -2.38111967144825
P32926 0.409157262932566 3.99441209631067 3.18559207804036 0.00581576007270369 0.654832873618974 -2.42038287241346
E9PC15 0.403169949533446 4.24739789460398 3.17832944021752 0.00597039703079624 0.654832873618974 -2.43639827898293
H3BV55 -0.267436374365728 4.88627513178464 -3.14170245090311 0.00637442770207588 0.654832873618974 -2.47694981290858
Q6RFH5 -0.44100994843708 4.83288219641273 -3.14994407730938 0.00685706099751008 0.654832873618974 -2.52018361190216
Q13185 0.247656110130916 4.72759916415114 3.09928503749673 0.00696445872447545 0.654832873618974 -2.53166086637065
P35251 0.27732440156909 5.07556989827024 3.07403661439472 0.00734082828237696 0.654832873618974 -2.56424052437724
G8JLB3 0.264475330800047 4.80803439675328 3.06166984923596 0.00753239404521789 0.654832873618974 -2.58020069884792
Q9NY93 -0.217792091003639 4.80474459441486 -3.04131430868907 0.00785844434269702 0.654832873618974 -2.60647336610924
P16989 -0.277243758379222 4.93547210427545 -3.03365593219072 0.00798466452259358 0.654832873618974 -2.61635844803237
Q8N5L8 -0.237794123458084 5.54239354776231 -3.03216763050533 0.0080094233218343 0.654832873618974 -2.61827949857811
Q13895 -0.277705907156818 5.05642269595265 -3.02913131700322 0.00806016780592512 0.654832873618974 -2.62219868509846
Q7L576 -0.329321619670864 4.94181571622847 -3.02511905986471 0.00828679182924805 0.654832873618974 -2.63868386833922
Q15121 -0.265824422402352 5.07293870692905 -2.98343206867173 0.00886304779722835 0.654832873618974 -2.68118449048791
O75381 -0.240642602280555 4.97829376152269 -2.97736573814905 0.00897534248105669 0.654832873618974 -2.68901376112497
P24539 0.279682753371825 5.73764156723549 2.95734175881164 0.00952831714374236 0.654832873618974 -2.72533347567648
Q9HAV4 0.234690433237576 4.60401056459597 2.93465739477625 0.0098062255285815 0.654832873618974 -2.74412179033213
P17096 0.245387143633371 4.28826770110697 2.89981220930088 0.0105393117155933 0.654832873618974 -2.78906059375175
Q9BX68 -0.406347867256242 4.2714005511612 -2.90231479170381 0.0106685506802353 0.654832873618974 -2.79566375592657
O14578 0.292060344933794 4.13877795576827 2.8887754777874 0.0107824453844753 0.654832873618974 -2.803288432174
P63165 0.348824156316673 5.1044295994288 2.89022657064311 0.0112291854632442 0.654832873618974 -2.82599291166765
P33240 0.20041201863838 4.96594738022604 2.85096168403817 0.0116575466806572 0.654832873618974 -2.85200843374943
P61011 0.23295010416527 4.78857561316259 2.84677515323041 0.0117585752497605 0.654832873618974 -2.85739952102088
Q71UI9 0.174665580919495 6.91235161082448 2.84179283299488 0.0118799160153858 0.654832873618974 -2.86381452697823
P62714 -0.583310634613847 4.51197706972299 -2.96038761407657 0.0121739102833328 0.654832873618974 -2.86407675273054
Q9Y5X3 -0.207490285103384 5.80158398312719 -2.81437277128173 0.0125697712381156 0.654832873618974 -2.89910185321519
O15067 0.249727266212703 4.59714518050342 2.80967951164051 0.0126916780467825 0.654832873618974 -2.90513851131185
Q53FA7 -0.222384305777363 4.68537259644024 -2.80823468956938 0.0127294372479827 0.654832873618974 -2.90699670120267
Q9UNX4 -0.296238676146283 3.84499513046533 -2.7905730725493 0.013199896798691 0.654832873618974 -2.92970352012035
