uniprot_id,Master.Protein.Descriptions,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B,protein_desc,gene_name
P23396,40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2,-1.169589702703368,-1.5356621823893595,-0.8035172230173764,7.670190735827121,-6.651264275683682,1.5144324592907203e-6,7.855502994642734e-4,5.346818596684878,40S ribosomal protein S3 ,RPS3 
Q9Y314,Nitric oxide synthase-interacting protein OS=Homo sapiens OX=9606 GN=NOSIP PE=1 SV=1,1.482511514321769,1.0137212877037194,1.9513017409398188,7.77561492832922,6.583506600589213,1.75346048987561e-6,7.855502994642734e-4,5.211074840491474,Nitric oxide synthase-interacting protein ,NOSIP 
Q12904,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens OX=9606 GN=AIMP1 PE=1 SV=2,0.9717301610311021,0.6178565631583861,1.325603758903818,7.294418144075037,5.716566636060916,1.2027789336152547e-5,0.003592299748397561,3.416611772170704,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 ,AIMP1 
P38432,Coilin OS=Homo sapiens OX=9606 GN=COIL PE=1 SV=1,1.0663414360967054,0.6508904513736329,1.481792420819778,7.411942937773333,5.343357622994525,2.8290638274551165e-5,0.006337102973499461,2.6145570386181483,Coilin ,COIL 
Q16637,Survival motor neuron protein OS=Homo sapiens OX=9606 GN=SMN1 PE=1 SV=1,1.161082530453913,0.6794764353536271,1.6426886255541988,6.240670966289565,5.01890372865011,6.0145140299001706e-5,0.010368236761467862,1.9057203960729243,Survival motor neuron protein ,SMN1 
O15479,Melanoma-associated antigen B2 OS=Homo sapiens OX=9606 GN=MAGEB2 PE=1 SV=3,-0.7057217515887125,-1.0020707689603254,-0.4093727342170995,7.813944867919468,-4.95755750982566,6.943015688482943e-5,0.010368236761467862,1.7706915229555893,Melanoma-associated antigen B2 ,MAGEB2 
P26038,Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3,0.9493089845389687,0.5308743574775335,1.367743611600404,7.420326653665998,4.7229975839542435,1.2048983577877365e-4,0.015422698979683028,1.252043075509568,Moesin ,MSN 
P10599,Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3,1.1912485307686616,0.652928230543114,1.729568830994209,7.60484761109627,4.606800121353258,1.5850804802196547e-4,0.017752901378460133,0.9939892475540386,Thioredoxin ,TXN 
Q53EP0,Fibronectin type III domain-containing protein 3B OS=Homo sapiens OX=9606 GN=FNDC3B PE=1 SV=2,1.2370153138474516,0.6658628727186827,1.8081677549762203,6.935198248493546,4.508798094221199,1.9985101513418437e-4,0.019896278840025466,0.775926784842949,Fibronectin type III domain-containing protein 3B ,FNDC3B 
Q7KZF4,Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1,-0.6927871002337705,-1.0246087516378921,-0.36096544882964904,7.1628931856993505,-4.346431316719789,2.936129328461726e-4,0.02616649451707949,0.41410881545874556,Staphylococcal nuclease domain-containing protein 1 ,SND1 
P13489,Ribonuclease inhibitor OS=Homo sapiens OX=9606 GN=RNH1 PE=1 SV=2,0.7439543955861873,0.38448939736476173,1.103419393807613,6.933800073251204,4.308513464500633,3.2124044608021696e-4,0.02616649451707949,0.3295619546729114,Ribonuclease inhibitor ,RNH1 
O95292,Vesicle-associated membrane protein-associated protein B/C OS=Homo sapiens OX=9606 GN=VAPB PE=1 SV=3,0.8175758948959415,0.41599854907218037,1.2191532407197028,7.470529843369265,4.238348096289866,3.7942294936771473e-4,0.028330246886122703,0.1731051324920836,Vesicle-associated membrane protein-associated protein B/C ,VAPB 
Q69YN4,Protein virilizer homolog OS=Homo sapiens OX=9606 GN=VIRMA PE=1 SV=2,0.9019178986010804,0.4519763423131622,1.3518594548889986,6.803208197548845,4.173002535172686,4.4306404781171944e-4,0.028608204209446937,0.027423030849305974,Protein virilizer homolog ,VIRMA 
O15355,Protein phosphatase 1G OS=Homo sapiens OX=9606 GN=PPM1G PE=1 SV=1,0.9986113216739966,0.49746266505360337,1.4997599782943898,7.335057892271544,4.1482761931397825,4.6983961646247644e-4,0.028608204209446937,-0.027686890901155614,Protein phosphatase 1G ,PPM1G 
Q9BTT0,Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Homo sapiens OX=9606 GN=ANP32E PE=1 SV=1,1.029594495143085,0.511889046956829,1.547299943329341,7.5344017527714104,4.14019909026353,4.7893199011350896e-4,0.028608204209446937,-0.04568664857816618,Acidic leucine-rich nuclear phosphoprotein 32 family member E ,ANP32E 
P55209,Nucleosome assembly protein 1-like 1 OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1,1.3724303616319207,0.6578074366879454,2.087053286575896,6.710949525998042,3.9980767060765836,6.709711976145267e-4,0.03424561359438269,-0.36211538835123047,Nucleosome assembly protein 1-like 1 ,NAP1L1 
Q15269,Periodic tryptophan protein 2 homolog OS=Homo sapiens OX=9606 GN=PWP2 PE=2 SV=2,-0.7226306872805413,-1.0995944166066458,-0.34566695795443675,6.6195933358850105,-3.9907505687162526,6.827291603433249e-4,0.03424561359438269,-0.37840739495130915,Periodic tryptophan protein 2 homolog ,PWP2 
P10515,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DLAT PE=1 SV=3",1.5691304331662397,0.7499240764594858,2.3883367898729935,7.582908479375102,3.9875255710730535,6.879699159585808e-4,0.03424561359438269,-0.385578471356232,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial ",DLAT 
Q86V48,Leucine zipper protein 1 OS=Homo sapiens OX=9606 GN=LUZP1 PE=1 SV=2,0.6294103632884672,0.2916582307863806,0.9671624957905538,6.965460381411408,3.8794801911229895,8.887118508066684e-4,0.039799746267072826,-0.6255282720387951,Leucine zipper protein 1 ,LUZP1 
Q14152,Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1,-0.4797979925439077,-0.7378347923961532,-0.2217611926916621,7.034239301172358,-3.8709229645740644,9.069020991446425e-4,0.039799746267072826,-0.6445042325049224,Eukaryotic translation initiation factor 3 subunit A ,EIF3A 
Q15029,116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens OX=9606 GN=EFTUD2 PE=1 SV=1,-0.6580089810188511,-1.0142851231089614,-0.3017328389287408,6.9705532896378575,-3.84488034996524,9.645674179239948e-4,0.039799746267072826,-0.7022256189585931,116 kDa U5 small nuclear ribonucleoprotein component ,EFTUD2 
O95239,Chromosome-associated kinesin KIF4A OS=Homo sapiens OX=9606 GN=KIF4A PE=1 SV=3,0.7580400794312931,0.3453266134073738,1.1707535454552125,6.669681211413701,3.823677700515885,0.001014192150814793,0.039799746267072826,-0.7491856809457653,Chromosome-associated kinesin KIF4A ,KIF4A 
Q86U42,Polyadenylate-binding protein 2 OS=Homo sapiens OX=9606 GN=PABPN1 PE=1 SV=3,-0.5508648260213826,-0.8510250972249758,-0.25070455481778947,7.0559221860981,-3.8205825042284287,0.001021645272480664,0.039799746267072826,-0.7560383270765838,Polyadenylate-binding protein 2 ,PABPN1 
P42696,RNA-binding protein 34 OS=Homo sapiens OX=9606 GN=RBM34 PE=1 SV=2,1.2658991143751024,0.5452173074181729,1.986580921332032,5.8627214642450625,3.656733297268551,0.0015042481127704045,0.056158596210095106,-1.1176721823525444,RNA-binding protein 34 ,RBM34 
Q8TCG1,Protein CIP2A OS=Homo sapiens OX=9606 GN=CIP2A PE=1 SV=2,0.5283963380015206,0.22552496144208617,0.831267714560955,7.528999488938878,3.6319454480612166,0.0015946854043304118,0.057153524891201964,-1.1721621406443292,Protein CIP2A ,CIP2A 
O43707,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,0.6297758970127153,0.26430917231317913,0.9952426217122514,7.0150907037607695,3.5873681100166745,0.0017710199677712089,0.05897005568725401,-1.2699860299552785,Alpha-actinin-4 ,ACTN4 
P46013,Proliferation marker protein Ki-67 OS=Homo sapiens OX=9606 GN=MKI67 PE=1 SV=2,0.49165692826250784,0.2054996811643311,0.7778141753606846,7.2243131719825895,3.576804172056393,0.0018155474644251848,0.05897005568725401,-1.293135077130012,Proliferation marker protein Ki-67 ,MKI67 
Q92688,Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Homo sapiens OX=9606 GN=ANP32B PE=1 SV=1,0.8621677238653163,0.3587883183872579,1.3655471293433745,8.410927792516873,3.5656118643746324,0.001863926962863466,0.05897005568725401,-1.3176466441595904,Acidic leucine-rich nuclear phosphoprotein 32 family member B ,ANP32B 
O60869,Endothelial differentiation-related factor 1 OS=Homo sapiens OX=9606 GN=EDF1 PE=1 SV=1,-0.8212428853339165,-1.302088909268264,-0.3403968613995692,7.246214532396973,-3.555521752740217,0.001908629034520498,0.05897005568725401,-1.3397313919247962,Endothelial differentiation-related factor 1 ,EDF1 
P46783,40S ribosomal protein S10 OS=Homo sapiens OX=9606 GN=RPS10 PE=1 SV=1,-0.9154931682121518,-1.4557521056308855,-0.375234230793418,7.66300000792234,-3.5276939216923004,0.0020374554116055973,0.06061576118708726,-1.4005741085318242,40S ribosomal protein S10 ,RPS10 
P20248,Cyclin-A2 OS=Homo sapiens OX=9606 GN=CCNA2 PE=1 SV=2,-0.6367561455713077,-1.014125880188586,-0.25938641095402937,7.111478146361938,-3.5127223815591098,0.0021102654336551817,0.06061576118708726,-1.4332669195363454,Cyclin-A2 ,CCNA2 
P07355,Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2,0.6517688878561603,0.2643002615091981,1.0392375142031225,8.019828895979764,3.5018281667664044,0.002164848613824545,0.06061576118708726,-1.4570376966464185,Annexin A2 ,ANXA2 
Q15365,Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2,-0.5296168621460952,-0.8457614108229484,-0.2134723134692419,8.025781602262288,-3.4874971018119347,0.0022387691686767005,0.06078597500407042,-1.4882832802619683,Poly(rC)-binding protein 1 ,PCBP1 
P33176,Kinesin-1 heavy chain OS=Homo sapiens OX=9606 GN=KIF5B PE=1 SV=1,0.6460865052217335,0.2579418158637053,1.0342311945797618,7.673226752917587,3.465251583690173,0.0023584509686830255,0.0608435865541546,-1.5367285086960045,Kinesin-1 heavy chain ,KIF5B 
