uniprot_id	Master.Protein.Descriptions	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	protein_desc	gene_name
Q12830	Nucleosome-remodeling factor subunit BPTF OS=Homo sapiens OX=9606 GN=BPTF PE=1 SV=3	-1.38670366198001	-1.91281546329537	-0.860591860664651	5.94137335189051	-5.49708908310745	2.19484875459653e-05	0.0188555795379379	2.8426626322968	Nucleosome-remodeling factor subunit BPTF 	BPTF 
Q12904	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens OX=9606 GN=AIMP1 PE=1 SV=2	0.84355595234419	0.505898292949856	1.18121361173852	7.29441814407504	5.21032057352488	4.20883471828971e-05	0.0188555795379379	2.24573160416511	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 	AIMP1 
P62241	40S ribosomal protein S8 OS=Homo sapiens OX=9606 GN=RPS8 PE=1 SV=2	0.675173533689927	0.394274004173389	0.956073063206465	8.11398424277625	5.01292900868526	6.61788467877828e-05	0.0197654155739511	1.82971779779826	40S ribosomal protein S8 	RPS8 
Q15366	Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1	-0.699681723064117	-1.00488589422573	-0.394477551902508	6.66419543472516	-4.7812034144668	0.000113026364177523	0.0216778547475785	1.33685294659191	Poly(rC)-binding protein 2 	PCBP2 
P62277	40S ribosomal protein S13 OS=Homo sapiens OX=9606 GN=RPS13 PE=1 SV=2	0.746715146492775	0.418987079004292	1.07444321398126	7.26440521078732	4.75191298938462	0.000120970171582469	0.0216778547475785	1.27425703242971	40S ribosomal protein S13 	RPS13 
P55209	Nucleosome assembly protein 1-like 1 OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1	1.50709476596744	0.833595456744088	2.18059407519079	6.71094952599804	4.66692222271472	0.000147367478746575	0.0220068768261552	1.09229871657089	Nucleosome assembly protein 1-like 1 	NAP1L1 
Q9GZR7	ATP-dependent RNA helicase DDX24 OS=Homo sapiens OX=9606 GN=DDX24 PE=1 SV=1	0.659826120412728	0.354462471552631	0.965189769272824	6.69325254900866	4.50649946278785	0.000214124565900267	0.0247923395005262	0.747703619467586	ATP-dependent RNA helicase DDX24 	DDX24 
P26038	Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3	0.855982338316817	0.456148760036578	1.25581591659706	7.420326653666	4.4649098691332	0.00023594833678848	0.0247923395005262	0.658165938818581	Moesin 	MSN 
Q69YN4	Protein virilizer homolog OS=Homo sapiens OX=9606 GN=VIRMA PE=1 SV=2	0.89724684316185	0.475957778654427	1.31853590766927	6.80320819754885	4.44179907178956	0.000249030195875822	0.0247923395005262	0.608381428537514	Protein virilizer homolog 	VIRMA 
Q15029	116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens OX=9606 GN=EFTUD2 PE=1 SV=1	-0.705615683580432	-1.04188674567388	-0.369344621486982	6.97055328963786	-4.37628790924488	0.000290219370095986	0.0258919088640396	0.467159384375301	116 kDa U5 small nuclear ribonucleoprotein component 	EFTUD2 
P11940	Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2	-0.774044067357848	-1.14623592791234	-0.401852206803352	7.11916580812068	-4.33736500575579	0.000317869416857629	0.0258919088640396	0.383193865261408	Polyadenylate-binding protein 1 	PABPC1 
O75821	Eukaryotic translation initiation factor 3 subunit G OS=Homo sapiens OX=9606 GN=EIF3G PE=1 SV=2	0.843648302074739	0.427036124052555	1.26026048009692	7.73383055835138	4.22334570436434	0.000415061821541307	0.0309912826750843	0.137052414744716	Eukaryotic translation initiation factor 3 subunit G 	EIF3G 
