uniprot_id,gene_name,protein_desc,protein_length,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
P10412,HIST1H1E ,Histone H1.4 ,219,0.8981976331921081,0.426402198652005,1.3699930677322112,6.356375304815132,3.9567503544703113,7.092605645572922e-4,0.4961559035629679,-1.0497087672501149
P35659,DEK ,Protein DEK ,375,0.727858619732918,0.33307566884957307,1.122641570616263,5.471691207412688,3.8318554542817145,9.566396933042487e-4,0.4961559035629679,-1.2371799128142458
P01033,TIMP1 ,Metalloproteinase inhibitor 1 ,207,-0.554016757946194,-0.8737238568740882,-0.2343096590182998,4.642218681706335,-3.6015636917317586,0.001657035373486185,0.4961559035629679,-1.5845264142722022
Q8N1G4,LRRC47 ,Leucine-rich repeat-containing protein 47 ,583,-0.5082625536624319,-0.814095777661656,-0.20242932966320776,4.993239260586412,-3.454012689876102,0.0023506703119325328,0.4961559035629679,-1.8075159161650673
Q12874,SF3A3 ,Splicing factor 3A subunit 3 ,501,-0.4705993532011864,-0.7560513307664116,-0.18514737563596118,5.690731822404603,-3.426405412870754,0.002508966769615511,0.4961559035629679,-1.8492228771357957
Q71UM5,RPS27L ,40S ribosomal protein S27-like ,84,-0.4098577941682096,-0.6641380100841832,-0.155577578252236,6.1975587920660296,-3.3499714396173923,0.0030036482601972906,0.4961559035629679,-1.9646101374396592
V9GY86,ATXN2 ,Ataxin-2 ,,0.4724064637150116,0.1607290735957953,0.7840838538342279,5.097888074291356,3.1501483771431356,0.004789766351232072,0.4961559035629679,-2.2651677521769846
Q86VM9,ZC3H18 ,Zinc finger CCCH domain-containing protein 18 ,953,0.5338074612133871,0.1800069310588791,0.887607991367895,5.331598051485582,3.135787597171754,0.0049519352847016695,0.4961559035629679,-2.286677533249568
P10155,TROVE2 ,60 kDa SS-A/Ro ribonucleoprotein ,538,-0.555648767622702,-0.9256502160729034,-0.1856473191725005,5.438639806915675,-3.1211698917130968,0.005122459829374378,0.4961559035629679,-2.308556383102579
Q9Y2R9,MRPS7 ,"28S ribosomal protein S7, mitochondrial ",242,-0.38441649518462073,-0.640412757036321,-0.12842023333292057,5.436866805370235,-3.1209647879282363,0.005124892453045528,0.4961559035629679,-2.308863253179124
Q14980,NUMA1 ,Nuclear mitotic apparatus protein 1 ,2115,-0.484104554327289,-0.8073421754400285,-0.16086693321454942,4.280192050189593,-3.112703428969741,0.005223810395642157,0.4961559035629679,-2.3212209185290833
P40925,MDH1 ,"Malate dehydrogenase, cytoplasmic ",334,-0.6862391027213804,-1.1467141255782378,-0.22576407986452302,4.551205009555531,-3.0973469846183788,0.005412609857050559,0.4961559035629679,-2.344177231000755
Q9Y265,RUVBL1 ,RuvB-like 1 ,456,-0.5397692502411551,-0.9092716559370168,-0.1702668445452934,6.02551427616008,-3.0360669711092068,0.006233789424399712,0.5126597366458926,-2.435583125241602
O00299,CLIC1 ,Chloride intracellular channel protein 1 ,241,-0.3806570445939281,-0.6453706763959215,-0.11594341279193471,6.038720348042372,-2.9886705392652453,0.0069500227878087125,0.5126597366458926,-2.506036035000108
E9PK52,EPB41L2 ,Band 4.1-like protein 2 ,,0.3987503754478725,0.1212170808906356,0.6762836700051094,4.758917659187028,2.9861147411468028,0.006990814590625809,0.5126597366458926,-2.5098285551276733
O14578,CIT ,Citron Rho-interacting kinase ,2027,-0.45163108579673117,-0.7722614336250844,-0.1310007379683779,4.251177969839759,-2.9275187024297726,0.007991665993794481,0.5262713888471293,-2.596579517344449
P50395,GDI2 ,Rab GDP dissociation inhibitor beta ,445,-0.4184188303482968,-0.7162555293006336,-0.12058213139595997,5.619708937022313,-2.919802586423041,0.008133285100364726,0.5262713888471293,-2.6079734039156928
Q9C0C2,TNKS1BP1 ,182 kDa tankyrase-1-binding protein ,1729,0.6003299871408911,0.16532942283933516,1.0353305514424471,4.549117393351501,2.8682743860727604,0.009142504637718717,0.5587086167494772,-2.683870336037102
P17987,TCP1 ,T-complex protein 1 subunit alpha ,556,-0.3641620116249267,-0.6353556637355613,-0.092968359514292,5.26596185276313,-2.7908442310670942,0.010886894670540588,0.5693020852661412,-2.797239046725892
P54136,RARS ,"Arginine--tRNA ligase, cytoplasmic ",660,-0.44012511748285577,-0.7683485764196551,-0.11190165854605644,5.578869482421213,-2.786936116297276,0.0109828578446752,0.5693020852661412,-2.802937755834307
E9PNM1,FDFT1 ,Squalene synthase ,,-0.451038072811162,-0.7891615758330328,-0.11291456978929115,5.212155339867481,-2.7724155163206086,0.011346505741700205,0.5693020852661412,-2.8240906352951334
P15153,RAC2 ,Ras-related C3 botulinum toxin substrate 2 ,192,-0.38347274692387207,-0.674579500902955,-0.09236599294478909,5.787272870079452,-2.737806185862158,0.012259941050829292,0.5693020852661412,-2.8743727033857716
Q14126,DSG2 ,Desmoglein-2 ,1118,-0.3392362272038717,-0.5968769650707295,-0.08159548933701394,5.095855082897476,-2.7365801213975525,0.012293546957703558,0.5693020852661412,-2.8761504064636494
O15347,HMGB3 ,High mobility group protein B3 ,200,0.5176836880497808,0.12334744748011428,0.9120199286194474,4.659011575703074,2.728464243011189,0.012518213054856047,0.5693020852661412,-2.887911513711233
Q7Z4V5,HDGFL2 ,Hepatoma-derived growth factor-related protein 2 ,671,0.5570386187817304,0.12886208148659062,0.9852151560768703,5.972087296759414,2.7038520073535013,0.013223574355641065,0.5693020852661412,-2.9235100145073223
Q9H5Q4,TFB2M ,"Dimethyladenosine transferase 2, mitochondrial ",396,-0.3840349948500397,-0.6836189166443337,-0.08445107305574573,4.973191026070636,-2.664236517795431,0.014438475978006354,0.5693020852661412,-2.9805854622344192
A0A087X295,WDR6 ,WD repeat-containing protein 6 ,,0.49877655592914205,0.10913394290123646,0.8884191689570476,4.253584858323894,2.660480392258369,0.014558985851981667,0.5693020852661412,-2.985982275875857
Q7L0Y3,TRMT10C ,tRNA methyltransferase 10 homolog C ,403,-0.3789396434817329,-0.6772514176222333,-0.08062786934123256,5.606733095539741,-2.6400984662764397,0.015229636829187253,0.5693020852661412,-3.0152211512305915
