UniprotID	Estimate	Std. Error	t value	p_value	adj_R_squared	fit	BH	Entry.name	Protein.names	Gene.names
O00469	-0.652282068756058	0.187888482514565	-3.47164477580734	0.00314643500876207	0.613795235265834	Without_replicate	0.219688113692218	PLOD2_HUMAN	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 (EC 1.14.11.4) (Lysyl hydroxylase 2) (LH2)	PLOD2
O14980	0.536392254758947	0.150133852130538	3.5727602212762	0.00254133160005154	0.933280257854044	Without_replicate	0.219688113692218	XPO1_HUMAN	Exportin-1 (Exp1) (Chromosome region maintenance 1 protein homolog)	XPO1 CRM1
P04114	2.40878778519188	0.678859983090803	3.54828365965075	0.00267619654891793	0.795739456327672	Without_replicate	0.219688113692218	APOB_HUMAN	Apolipoprotein B-100 (Apo B-100) [Cleaved into: Apolipoprotein B-48 (Apo B-48)]	APOB
P24821	0.524449787677264	0.139114611287231	3.76991160615349	0.00267222315533062	0.746757566402235	With_replicate	0.219688113692218	TENA_HUMAN	Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C)	TNC HXB
P62829	1.01690159907138	0.294373430881896	3.45446121283739	0.00326269475780522	0.879143349889647	Without_replicate	0.219688113692218	RL23_HUMAN	60S ribosomal protein L23 (60S ribosomal protein L17) (Large ribosomal subunit protein uL14)	RPL23
Q01518	-0.471442069658399	0.130489089788781	-3.61288495782681	0.00233478516917734	0.973659469630884	Without_replicate	0.219688113692218	CAP1_HUMAN	Adenylyl cyclase-associated protein 1 (CAP 1)	CAP1 CAP
Q8TCJ2	-0.737039808910624	0.210694663117467	-3.49814180390373	0.00297520169655266	0.771653715213015	Without_replicate	0.219688113692218	STT3B_HUMAN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B (Oligosaccharyl transferase subunit STT3B) (STT3-B) (EC 2.4.99.18) (Source of immunodominant MHC-associated peptides homolog)	STT3B SIMP
Q8WU90	0.913082126637899	0.218109397908279	4.18634930633239	0.000698145125618281	0.603962587287085	Without_replicate	0.219688113692218	ZC3HF_HUMAN	Zinc finger CCCH domain-containing protein 15 (DRG family-regulatory protein 1) (Likely ortholog of mouse immediate early response erythropoietin 4)	ZC3H15 DFRP1 LEREPO4 HSPC303 HT010 MSTP012 PP730
Q99832	0.951449162333037	0.269520262586127	3.53015818997651	0.00278065301158996	0.384418972322348	Without_replicate	0.219688113692218	TCPH_HUMAN	T-complex protein 1 subunit eta (TCP-1-eta) (CCT-eta) (HIV-1 Nef-interacting protein) [Cleaved into: T-complex protein 1 subunit eta, N-terminally processed]	CCT7 CCTH NIP7-1
Q9UHD8	0.549963999867108	0.157099347389859	3.50074019405257	0.0043758990999855	0.685634969859979	With_replicate	0.265179485459121	SEPT9_HUMAN	Septin-9 (MLL septin-like fusion protein MSF-A) (MLL septin-like fusion protein) (Ovarian/Breast septin) (Ov/Br septin) (Septin D1)	SEPT9 KIAA0991 MSF
Q9BQ39	0.362391984249901	0.111673629474935	3.24509900818832	0.00507305876095827	0.970553784758929	Without_replicate	0.279479419012792	DDX50_HUMAN	ATP-dependent RNA helicase DDX50 (EC 3.6.4.13) (DEAD box protein 50) (Gu-beta) (Nucleolar protein Gu2)	DDX50
P23229	-0.522087103538002	0.160791205425651	-3.24698793168394	0.00699539336528192	0.721978631412474	With_replicate	0.288463177461723	ITA6_HUMAN	Integrin alpha-6 (CD49 antigen-like family member F) (VLA-6) (CD antigen CD49f) [Cleaved into: Integrin alpha-6 heavy chain; Integrin alpha-6 light chain; Processed integrin alpha-6 (Alpha6p)]	ITGA6
Q13123	0.553811099440269	0.179676658331836	3.08226513439193	0.00714017765994363	0.913105176818547	Without_replicate	0.288463177461723	RED_HUMAN	Protein Red (Cytokine IK) (IK factor) (Protein RER)	IK RED RER
Q99575	1.01250362215596	0.321955461142531	3.14485618154406	0.00626242332199493	0.612563599626265	Without_replicate	0.288463177461723	POP1_HUMAN	Ribonucleases P/MRP protein subunit POP1 (hPOP1) (EC 3.1.26.5)	POP1 KIAA0061
Q99959	0.450091705854057	0.142033233561538	3.16891824939723	0.0059540189037421	0.569247841390072	Without_replicate	0.288463177461723	PKP2_HUMAN	Plakophilin-2	PKP2
P16989	0.337113632545182	0.109705350828956	3.07290054676352	0.00966456809334402	0.959388562711052	With_replicate	0.34451342732744	YBOX3_HUMAN	Y-box-binding protein 3 (Cold shock domain-containing protein A) (DNA-binding protein A) (Single-strand DNA-binding protein NF-GMB)	YBX3 CSDA DBPA
P36952	-0.321899353435166	0.109363820465445	-2.94338065427107	0.00954102276507342	0.980139034562976	Without_replicate	0.34451342732744	SPB5_HUMAN	Serpin B5 (Maspin) (Peptidase inhibitor 5) (PI-5)	SERPINB5 PI5
Q13206	-0.779996022050211	0.270533354153363	-2.88317876548426	0.0108117737194087	0.544001855100085	Without_replicate	0.353506839806492	DDX10_HUMAN	Probable ATP-dependent RNA helicase DDX10 (EC 3.6.4.13) (DEAD box protein 10)	DDX10
Q15061	-0.851063727558423	0.29641380874973	-2.87120134904713	0.0110835477827118	0.445587966387131	Without_replicate	0.353506839806492	WDR43_HUMAN	WD repeat-containing protein 43 (U3 small nucleolar RNA-associated protein 5 homolog)	WDR43 KIAA0007 UTP5
O60841	-0.605200835422737	0.220637222522026	-2.74296797478186	0.0144412774318547	0.566525801611376	Without_replicate	0.437570706185197	IF2P_HUMAN	Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2)	EIF5B IF2 KIAA0741
P05141	-0.888798578399695	0.339837875777446	-2.61536056381706	0.0187463047197874	0.752929932277103	Without_replicate	0.464019846641872	ADT2_HUMAN	ADP/ATP translocase 2 (ADP,ATP carrier protein 2) (ADP,ATP carrier protein, fibroblast isoform) (Adenine nucleotide translocator 2) (ANT 2) (Solute carrier family 25 member 5) [Cleaved into: ADP/ATP translocase 2, N-terminally processed]	SLC25A5 ANT2
P15291	-0.322128251944233	0.126313488076066	-2.5502284581853	0.0213933727918863	0.831515419033394	Without_replicate	0.464019846641872	B4GT1_HUMAN	Beta-1,4-galactosyltransferase 1 (Beta-1,4-GalTase 1) (Beta4Gal-T1) (b4Gal-T1) (EC 2.4.1.-) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 1) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 1) [Cleaved into: Processed beta-1,4-galactosyltransferase 1] [Includes: Lactose synthase A protein (EC 2.4.1.22); N-acetyllactosamine synthase (EC 2.4.1.90) (Nal synthase); Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase (EC 2.4.1.38); Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase (EC 2.4.1.-)]	B4GALT1 GGTB2
P17096	-0.856677961592894	0.344227817431078	-2.48869474868753	0.0242185375774359	0.814003280376769	Without_replicate	0.464019846641872	HMGA1_HUMAN	High mobility group protein HMG-I/HMG-Y (HMG-I(Y)) (High mobility group AT-hook protein 1) (High mobility group protein A1) (High mobility group protein R)	HMGA1 HMGIY
P23284	-0.567724661579252	0.236448713267145	-2.40104779482485	0.0334546651173299	0.82809826795152	With_replicate	0.464019846641872	PPIB_HUMAN	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP)	PPIB CYPB
P29692	0.768036827673062	0.320432616688099	2.39687468651373	0.0290996925230961	0.249361285199404	Without_replicate	0.464019846641872	EF1D_HUMAN	Elongation factor 1-delta (EF-1-delta) (Antigen NY-CO-4)	EEF1D EF1D
P35221	0.292903988565994	0.114226788850406	2.56423201171828	0.0248075631010362	0.783137208210237	With_replicate	0.464019846641872	CTNA1_HUMAN	Catenin alpha-1 (Alpha E-catenin) (Cadherin-associated protein) (Renal carcinoma antigen NY-REN-13)	CTNNA1
P48634	0.396914528171957	0.151605962686787	2.61806673786288	0.0224648911050896	0.356427719223449	With_replicate	0.464019846641872	PRC2A_HUMAN	Protein PRRC2A (HLA-B-associated transcript 2) (Large proline-rich protein BAT2) (Proline-rich and coiled-coil-containing protein 2A) (Protein G2)	PRRC2A BAT2 G2
P55795	0.563092223219719	0.242042695370004	2.32641692557148	0.0334587897243288	0.412803883332995	Without_replicate	0.464019846641872	HNRH2_HUMAN	Heterogeneous nuclear ribonucleoprotein H2 (hnRNP H2) (FTP-3) (Heterogeneous nuclear ribonucleoprotein H') (hnRNP H') [Cleaved into: Heterogeneous nuclear ribonucleoprotein H2, N-terminally processed]	HNRNPH2 FTP3 HNRPH2
P60842	-0.4759731951632	0.19646964288145	-2.42262971613586	0.0321626267646525	0.861402957938511	With_replicate	0.464019846641872	IF4A1_HUMAN	Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)	EIF4A1 DDX2A EIF4A
P62854	-0.363429904906739	0.148357251104699	-2.44969424952649	0.0306103167411979	0.880576278156179	With_replicate	0.464019846641872	RS26_HUMAN	40S ribosomal protein S26 (Small ribosomal subunit protein eS26)	RPS26
P78347	0.437074316590223	0.165476532783337	2.6413069529472	0.0177816211832939	0.238200124766224	Without_replicate	0.464019846641872	GTF2I_HUMAN	General transcription factor II-I (GTFII-I) (TFII-I) (Bruton tyrosine kinase-associated protein 135) (BAP-135) (BTK-associated protein 135) (SRF-Phox1-interacting protein) (SPIN) (Williams-Beuren syndrome chromosomal region 6 protein)	GTF2I BAP135 WBSCR6
Q14151	0.458577221153198	0.188833506679159	2.4284737874002	0.0273235555888491	0.576149145250865	Without_replicate	0.464019846641872	SAFB2_HUMAN	Scaffold attachment factor B2 (SAF-B2)	SAFB2 KIAA0138
Q2NL82	-0.80933554910114	0.305179228111945	-2.65200077380188	0.0173980327532812	0.85223927710998	Without_replicate	0.464019846641872	TSR1_HUMAN	Pre-rRNA-processing protein TSR1 homolog	TSR1 KIAA1401
Q6PD62	-0.414623140409925	0.178162581866822	-2.32721784824525	0.0334059665916981	0.652228630760028	Without_replicate	0.464019846641872	CTR9_HUMAN	RNA polymerase-associated protein CTR9 homolog (SH2 domain-binding protein 1)	CTR9 KIAA0155 SH2BP1
Q86UP2	0.359844264317734	0.146448216408903	2.45714337218693	0.0258011034186679	0.94939983316508	Without_replicate	0.464019846641872	KTN1_HUMAN	Kinectin (CG-1 antigen) (Kinesin receptor)	KTN1 CG1 KIAA0004
