uniprot_id,gene_name,protein_desc,protein_length,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
Q8WU90,ZC3H15 ,Zinc finger CCCH domain-containing protein 15 ,426,0.9162881704773693,0.43615854152371897,1.3964177994310196,4.904913421087181,3.9665422657856335,6.935497181861632e-4,0.4542066472866207,-1.2393663430142081
Q15154,PCM1 ,Pericentriolar material 1 protein ,2024,0.6643051144873682,0.2933615465915159,1.0352486823832203,4.5152257760178385,3.722187660180823,0.0012444017733880019,0.4542066472866207,-1.5784653530578296
Q99575,POP1 ,Ribonucleases P/MRP protein subunit POP1 ,1024,0.9877452299030117,0.3848240660374178,1.5906663937686056,4.398078303175911,3.4050455505706565,0.002640461282341264,0.45965874727315736,-2.022000685996933
P62829,RPL23 ,60S ribosomal protein L23 ,140,0.8561056615219274,0.316516232993013,1.3956950900508418,5.511668855663228,3.2976339860960753,0.0033983040489905204,0.45965874727315736,-2.17233252799232
Q9BS26,ERP44 ,Endoplasmic reticulum resident protein 44 ,406,0.6033407071516759,0.2198084803517672,0.9868729339515845,4.42736533639557,3.2696350462373185,0.0036284069819126972,0.45965874727315736,-2.2114807831305083
B4DR61,SEC61A1 ,Protein transport protein Sec61 subunit alpha isoform 1 ,,0.4585876164031551,0.16365196556850464,0.7535232672378056,5.009389046476521,3.231718802171254,0.003964323849466477,0.45965874727315736,-2.2644568980410305
Q15061,WDR43 ,WD repeat-containing protein 43 ,677,-0.6881622343838657,-1.140919600971063,-0.23540486779666858,5.062658050808992,-3.159103275958858,0.00469400695461042,0.45965874727315736,-2.3657558889823074
Q99832,CCT7 ,T-complex protein 1 subunit eta ,543,0.7828808270044971,0.2623020320563151,1.3034596219526793,5.509750374695683,3.12570291120851,0.005071861105068397,0.45965874727315736,-2.41226332436681
P24821,TNC ,Tenascin ,2201,0.5373222952886132,0.17445425376846885,0.9001903368087576,6.247361675816997,3.077688447297919,0.005667025651312899,0.45965874727315736,-2.4790048364760455
P04114,APOB ,Apolipoprotein B-100 ,4563,2.2382069171502486,0.7014120673267425,3.7750017669737543,4.499051379739181,3.0969569712358416,0.007170927490113208,0.492512063150543,-2.61679673230945
Q13206,DDX10 ,Probable ATP-dependent RNA helicase DDX10 ,875,-0.5694162675750342,-0.9692217601705075,-0.16961077497956084,4.634095850132265,-2.9601902773190063,0.007421414650213663,0.492512063150543,-2.641627586185595
Q8TCJ2,STT3B ,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B ,826,-0.5997995748948695,-1.0282670275410615,-0.17133212224867755,6.162486041955525,-2.909556733331473,0.008328915562173127,0.5066756966988653,-2.711334413420122
O00469,PLOD2 ,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 ",737,-0.5387907229841544,-0.9335603512879025,-0.1440210946804063,5.051439091295254,-2.836709678333272,0.009822956459644278,0.5429627207676926,-2.8111504458073817
Q01518,CAP1 ,Adenylyl cyclase-associated protein 1 ,475,-0.41858138380498444,-0.7338592782644031,-0.10330348934556577,5.397299551811442,-2.7594650744114464,0.011685114272694542,0.5429627207676926,-2.916296238337965
Q5QPA5,MRPS18A ,"39S ribosomal protein S18a, mitochondrial (Fragment) ",,0.6426857886079221,0.1531604587504079,1.1322111184654364,5.360176255217463,2.728739274881962,0.012515360094712354,0.5429627207676926,-2.9578981408659937
O14980,XPO1 ,Exportin-1 ,1071,0.43497248276969,0.0974492586293263,0.7724957069100538,5.074928073332761,2.6785307490848846,0.013993538188375306,0.5429627207676926,-3.025581541144224
O60841,EIF5B ,Eukaryotic translation initiation factor 5B ,1220,-0.44481574828692905,-0.7913235236733724,-0.0983079729004856,5.490829702383823,-2.6681220018248313,0.014319979284945888,0.5429627207676926,-3.0395644911374817
Q13123,IK ,Protein Red ,557,0.5328336998795443,0.11764037221892087,0.9480270275401678,5.297839410366117,2.6673489367613046,0.014344509160838187,0.5429627207676926,-3.040602328548646
P23284,PPIB ,Peptidyl-prolyl cis-trans isomerase B ,216,-0.6442166315373641,-1.1477716550261463,-0.14066160804858174,6.182808656207175,-2.6590316923462805,0.014610943504458856,0.5429627207676926,-3.0517621407919635
P40227,CCT6A ,T-complex protein 1 subunit zeta ,531,-0.49326493084966505,-0.8800094244791894,-0.1065204372201407,5.558868030798095,-2.650907749570189,0.014875690979936783,0.5429627207676926,-3.0626517835907054
Q9UHD8,SEPT9 ,Septin-9 ,586,0.4814158714528369,0.09934347234984009,0.8634882705558337,5.094685636235096,2.61886585017074,0.015964655919427882,0.5549618486277311,-3.1054953086256
Q9Y265,RUVBL1 ,RuvB-like 1 ,456,-0.7439280762545146,-1.350395031319425,-0.13746112118960419,5.340252632909415,-2.5495428830809357,0.018582565295995068,0.563121756386672,-3.1975734188715523
Q99729-3,HNRNPAB,Isoform 3 of Heterogeneous nuclear ribonucleoprotein A/B ,,0.3997973183665625,0.0724439020867968,0.7271507346463282,5.980731404350243,2.5384084977695123,0.01903883809248475,0.563121756386672,-3.2122801071550158
F8W8N3,SKP1 ,S-phase kinase-associated protein 1 (Fragment) ,,0.5843443307173658,0.10480762014535872,1.0638810412893729,4.647835788404699,2.5327101383265376,0.0192763881218107,0.563121756386672,-3.2197975133184205
P15144,ANPEP ,Aminopeptidase N ,967,-0.48487535940771626,-0.8834716525587425,-0.08627906625668996,5.555607528686744,-2.5283394017563428,0.019460469988192716,0.563121756386672,-3.225559233706031
P15291,B4GALT1 ,"Beta-1,4-galactosyltransferase 1 ",398,-0.38543852493247993,-0.7070578900038352,-0.06381915986112463,5.8009910017359445,-2.490872191827112,0.021107293896499988,0.563121756386672,-3.2747955933019783
P36952,SERPINB5 ,Serpin B5 ,375,-0.3495054805389746,-0.6419855894312859,-0.057025371646663325,5.094233543811573,-2.4836830204794045,0.02143780299814996,0.563121756386672,-3.2842106432711073
Q9BQ39,DDX50 ,ATP-dependent RNA helicase DDX50 ,737,0.41258672900463655,0.0668342454413749,0.7583392125678983,4.298880948498925,2.480210033536288,0.02159919065592714,0.563121756386672,-3.2887551095067913
F5H5I6,GRSF1 ,G-rich sequence factor 1 ,,0.46367995587932287,0.06767795568665064,0.859681956071995,4.877087625385933,2.4336574934717583,0.023874622405961003,0.6009818743569494,-3.3494244585715514
P05141,SLC25A5 ,ADP/ATP translocase 2 ,298,-0.6880459766366656,-1.2831720686681194,-0.09291988460521172,5.061223151990224,-2.4029624374188416,0.025494756770162247,0.6153428785052344,-3.389169283044958
Q99959,PKP2 ,Plakophilin-2 ,881,0.41167844350264055,0.053875183882862,0.769481703122419,5.426441540460241,2.3914006775736754,0.026130998950222282,0.6153428785052344,-3.4040846296887564
Q6PKG0,LARP1 ,La-related protein 1 ,1096,0.5358573167820853,0.06716375017047976,1.0045508833936907,5.196398710464393,2.3762858753111216,0.026984940838649562,0.6155939628816931,-3.4235370682983675
Q8IVF2,AHNAK2 ,Protein AHNAK2 ,5795,0.5470114368806397,0.05650989824335895,1.0375129755179204,5.280145484808911,2.3178992043035005,0.03053150879297622,0.6429574524999647,-3.498167804889047
Q9UGP8,SEC63 ,Translocation protein SEC63 homolog ,760,-0.4146927181924717,-0.7870365489814893,-0.042348887403454105,4.7078124392881495,-2.3148388399358844,0.030728747718719866,0.6429574524999647,-3.5020565382146716
O43390,HNRNPR ,Heterogeneous nuclear ribonucleoprotein R ,633,0.37358783709254095,0.03726314689467203,0.7099125272904099,5.058518701890235,2.3087265188909596,0.03112619588203944,0.6429574524999647,-3.5098162712401946
Q2NL82,TSR1 ,Pre-rRNA-processing protein TSR1 homolog ,804,-0.4855673845527459,-0.924799379754012,-0.04633538935147974,4.385121712140727,-2.297703857006607,0.03185490035987004,0.6429574524999647,-3.5237858718075583
H3BPE1,MACF1 ,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 ",,0.6248021051851452,0.056937507178898006,1.1926667031913925,4.734622906120716,2.286842229212559,0.032588254441779034,0.6429574524999647,-3.537520973576841
P16989,YBX3 ,Y-box-binding protein 3 ,372,0.3538449883988465,0.029317353261096857,0.6783726235365961,5.170194411031545,2.2662085708385353,0.03402420895568195,0.6536229615170479,-3.5635289154138077
P17096,HMGA1 ,High mobility group protein HMG-I/HMG-Y ,107,-0.6343301856935624,-1.2202372435896227,-0.04842312779750191,4.721594802745642,-2.2502209449060797,0.03517642547271904,0.6541470468575806,-3.5836033876609132
F5H5D3,TUBA1C ,Tubulin alpha chain ,,-0.5938696746626306,-1.1446176253892562,-0.04312172393600511,6.506404657523079,-2.241180179412005,0.03584367380041538,0.6541470468575806,-3.5949248455957914
P35221,CTNNA1 ,Catenin alpha-1 ,906,0.3377641300395955,0.01609717594885135,0.6594310841303397,4.810099874309635,2.1824564861296767,0.04046643390181278,0.6971480545459227,-3.667913305607769
Q49AN9,SNRPG ,SNRPG protein ,,0.49681459684806656,0.02109518779898456,0.9725340058971486,4.726312246431886,2.1706109542347747,0.041462193377389774,0.6971480545459227,-3.682517787645211
O75494,SRSF10 ,Serine/arginine-rich splicing factor 10 ,262,0.4042655382869066,0.017154444731197815,0.7913766318426154,5.545383262844071,2.1705491175785756,0.041467449324487246,0.6971480545459227,-3.682593919920863
P29692,EEF1D ,Elongation factor 1-delta ,281,0.6712222368752788,0.023567964220955306,1.3188765095296024,5.047978144260419,2.1568582167927053,0.04290263257568974,0.6971480545459227,-3.7018835042845684
H7BY55,CD55 ,Complement decay-accelerating factor ,,-0.8047989929513781,-1.5835589093036364,-0.026039076599119748,4.9032362702412176,-2.1621695705378685,0.043493927707548403,0.6971480545459227,-3.7054607631324727
F6Y5H0,RBMS1 ,"RNA-binding motif, single-stranded-interacting protein 1 ",,0.46381685522480975,0.008756528505665495,0.9188771819439541,4.837278569749271,2.1184395042612434,0.046117411881789985,0.6971480545459227,-3.7463479429857522
Q8WVC0,LEO1 ,RNA polymerase-associated protein LEO1 ,666,0.6335146735139383,0.007886871495388581,1.259142475532488,4.485175019968901,2.1046464560473015,0.04742459725746337,0.6971480545459227,-3.7630857896159755
P06748,NPM1 ,Nucleophosmin ,294,-0.41379846344793947,-0.823262184599724,-0.0043347422961549364,6.241468273188588,-2.100448117105339,0.04782905486920081,0.6971480545459227,-3.768168801673133
E9PK91,BCLAF1 ,Bcl-2-associated transcription factor 1 ,,0.5291846931054203,0.0045056984358119445,1.0538636877750287,5.695572722051453,2.096293605755818,0.04823234504274337,0.6971480545459227,-3.7731933543387903
P78347,GTF2I ,General transcription factor II-I ,998,0.39171284005304485,0.0026363768873973736,0.7807893032186923,4.706634473818932,2.092528405316145,0.04860048471118437,0.6971480545459227,-3.777742411988817
